RCDT Code,District Name,Local Affiliation
17054404016,Lincoln CHSD 404,IEA-NEA
17064002026,LeRoy CUSD 2,Independent
17064003026,Tri Valley CUSD 3,IEA-NEA
17064004026,Heyworth CUSD 4,IEA-NEA
17064005026,McLean County USD 5,IEA-NEA
17064007026,Lexington CUSD 7,IEA-NEA
17064016026,Olympia CUSD 16,IEA-NEA
17064019026,Ridgeview CUSD 19,IEA-NEA
17064087025,Bloomington SD 87,IEA-NEA
17064087041,Bloomington Area Career Center,IEA-NEA
17064087046,McLean/Dewitt Reg Voc System,IEA-NEA
19000000063,Philip J Rock Center and School,NULL
19022002002,Bensenville SD 2,IEA-NEA
19022004002,Addison SD 4,IEA-NEA
19022007002,Wood Dale SD 7,IEA-NEA
19022010002,Itasca SD 10,IEA-NEA
19022011002,Medinah SD 11,IEA-NEA
19022012002,Roselle SD 12,IEA-NEA
19022013002,Bloomingdale SD 13,IFT-AFT
19022015061,Coop Assoc for Spec Educ,IEA-NEA
19022016002,Queen Bee SD 16,IEA-NEA
19022020002,Keeneyville SD 20,IEA-NEA
19022025002,Benjamin SD 25,IEA-NEA
19022033002,West Chicago ESD 33,IEA-NEA
19022034002,Winfield SD 34,IEA-NEA
19022041002,Glen Ellyn SD 41,Other: GEEA
19022044002,Lombard SD 44,Other: Lombard Education Assocation
19022045002,SD 45 DuPage County,IEA-NEA
19022048002,Salt Creek SD 48,IEA-NEA
19022053002,Butler SD 53,NULL
19022058002,Downers Grove GSD 58,IEA-NEA
19022060002,Maercker SD 60,IEA-NEA
19022061002,Darien SD 61,IEA-NEA
19022062002,Gower SD 62,IEA-NEA
19022063002,Cass SD 63,IEA-NEA
19022066002,Center Cass SD 66,IEA-NEA
19022068002,Woodridge SD 68,IEA-NEA
19022086017,Hinsdale Twp HSD 86,IEA-NEA
19022087017,Glenbard Twp HSD 87,IEA-NEA
19022088016,DuPage HSD 88,IFT-AFT
19022089004,CCSD 89,IEA-NEA
19022093004,CCSD 93,IEA-NEA
19022094016,CHSD 94,IEA-NEA
19022099016,CHSD 99,IEA-NEA
19022100016,Fenton CHSD 100,IEA-NEA
19022108016,Lake Park CHSD 108,IEA-NEA
19022180004,CCSD 180,IEA-NEA
19022181004,Hinsdale CCSD 181,IEA-NEA
19022200026,CUSD 200,IEA-NEA
19022201026,CUSD 201,IEA-NEA
19022202026,Lisle CUSD 202,IEA-NEA
19022203026,Naperville CUSD 203,IEA-NEA
19022204026,Indian Prairie CUSD 204,IEA-NEA
19022205026,Elmhurst SD 205,IFT-AFT
19022502040,Technology Center of DuPage,IEA-NEA
19022502046,DuPage Area Occup Educ Sys,IEA-NEA
19022802060,North DuPage Sp Ed Cooperative,IEA-NEA
19022803060,School Assn For Special Educ,IEA-NEA
20024001026,Edwards County CUSD 1,IEA-NEA
20030007026,Gallatin CUSD 7,IEA-NEA
20033010026,Hamilton Co CUSD 10,IFT-AFT
20035001026,Hardin County CUSD 1,IEA-NEA
20076001026,Pope Co CUD 1,IEA-NEA
20083001026,Galatia CUSD 1,IEA-NEA
20083002026,Carrier Mills-Stonefort CUSD 2,IEA-NEA
20083003026,Harrisburg CUSD 3,IEA-NEA
20083004026,Eldorado CUSD 4,IEA-NEA
20093017024,Allendale CCSD 17,IEA-NEA
20093348026,Wabash CUSD 348,IEA-NEA
20096006004,New Hope CCSD 6,Other: Teachers of New Hope
20096014004,Geff CCSD 14,IEA-NEA
20096017004,Jasper CCSD 17,Other: No union representation
20096100026,Wayne City CUSD 100,IEA-NEA
20096112004,Fairfield PSD 112,IFT-AFT
20096200026,North Wayne CUSD 200,IEA-NEA
20096225016,Fairfield Comm H S Dist 225,IEA-NEA
20097001026,Grayville CUSD 1,IEA-NEA
20097003026,Norris City-Omaha-Enfield CUSD 3,IEA-NEA
20097005026,Carmi-White County CUSD 5,IEA-NEA
20097801060,Wabash & Ohio Valley Sp Ed Dist,IEA-NEA
21028047004,Benton CCSD 47,IFT-AFT
21028091004,Akin CCSD 91,IFT-AFT
21028099026,Christopher USD 99,IFT-AFT
21028103013,Benton Cons HSD 103,IEA-NEA
21028115004,Ewing Northern CCSD 115,IFT-AFT
